listing_id,title,property_type,specific_type,bedrooms,area_sqft,price_ksh,county,city,area_name,url,price_disclosed,area_sqm,price_per_sqm,price_m,property_category
3755770,Serviced 1 Bed Apartment With Swimming Pool In Ruaka,Apartments For Sale,Other Apartments For Sale,1,68.0,5500000.0,Kiambu,Ruaka,Ruaka,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-ruaka-3755770,True,6.317404,870610.7761985778,5.5,Apartment/Flat
3725806,Land In Westlands Area,Land For Sale,Other Land For Sale,0,,390000000.0,Nairobi,Westlands,Westlands Area,https://www.buyrentkenya.com/listings/land-for-sale-westlands-area-3725806,True,,,390.0,Land
3720376,1 Bed Apartment With En Suite In Westlands Area,Apartments For Sale,Other Apartments For Sale,1,,9000000.0,Nairobi,Westlands,Westlands Area,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-3720376,True,,,9.0,Apartment/Flat
3725160,Land In Athi River,Land For Sale,Other Land For Sale,0,,24000000.0,Machakos,Athi River,Athi River,https://www.buyrentkenya.com/listings/land-for-sale-athi-river-area-3725160,True,,,24.0,Land
3731792,6 Bed Villa With En Suite In Gikambura,Houses For Sale,Villas For Sale,6,,22000000.0,Kiambu,Kikuyu,Gikambura,https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-gikambura-3731792,True,,,22.0,House/Townhouse
3732214,4 Bed Townhouse With En Suite In Kitisuru,Houses For Sale,Townhouses For Sale,4,,45000000.0,Nairobi,Westlands,Kitisuru,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitisuru-3732214,True,,,45.0,House/Townhouse
3757205,4 Bed Apartment With En Suite In Parklands,Apartments For Sale,Other Apartments For Sale,4,,22000000.0,Nairobi,Westlands,Parklands,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-parklands-3757205,True,,,22.0,Apartment/Flat
3610383,4 Bed House With En Suite At Mtwapa,Houses For Sale,Other Houses For Sale,4,500.0,25500000.0,Kilifi,Mtwapa,Mtwapa,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-mtwapa-3610383,True,46.4515,548959.6676103031,25.5,House/Townhouse
3665699,Furnished 2 Ac Commercial Property With Service Charge Included At Nyali,Commercial Property For Sale,Other Commercial Property For Sale,0,2.0,345000000.0,Mombasa,Nyali,Nyali Area,https://www.buyrentkenya.com/listings/furnished-2-ac-commercial-property-for-sale-nyali-area-3665699,True,0.185806,1856775346.3289669,345.0,Commercial
3687116,"1,000 M² Land At Serena",Land For Sale,Other Land For Sale,0,1000.0,17500000.0,Mombasa,Shanzu,Shanzu,https://www.buyrentkenya.com/listings/1000-m2-land-for-sale-shanzu-3687116,True,92.903,188368.51339569228,17.5,Land
